材料名,メモ,材料タイプ,熱伝導率 [W/mK],比熱 [KJ/kg･K],密度 [kg/m3],水分伝導率 [kg/m･Pa･s],絶乾密度 [kg/m3],空隙率 [%],相対湿度1 [%],相対湿度2 [%],相対湿度3 [%],相対湿度4 [%],相対湿度5 [%],平行含水率1 [wt%],平行含水率2 [wt%],平行含水率3 [wt%],平行含水率4 [wt%],平行含水率5 [wt%]
【H28基準】合板,,1,0.16,1.3,550,1.11E-12,550,0,0.202,0.427,0.649,0.848,0.946,6.1,9.5,12.7,17.9,23.4
【H28基準】天然木材,,1,0.12,1.3,400,2.74E-12,400,0,0.205,0.433,0.656,0.858,0.954,5.7,8.9,12,17.7,24.1
【H28基準】コンクリート,,2,1.6,0.88,2300,2.98E-12,2000,0,0.255,0.451,0.652,0.802,0.985,0.83,1.09,1.65,2.56,4.62
【H28基準】気泡コンクリート（ALC）,,2,0.19,1.1,600,3.79E-11,600,0,0.178,0.557,0.763,0.953,0,1.8,2.8,3.5,9.1,0
【H28基準】グラスウール断熱材10K相当,熱伝導率 0.050 W/mK,3,0.05,0.84,10,1.7E-10,10,0,0.204,0.434,0.645,0.849,0.951,0.87,1.2,1.4,1.7,1.9
【H28基準】グラスウール断熱材16K相当,熱伝導率 0.045 W/mK,3,0.045,0.84,16,1.7E-10,16,0,0.204,0.434,0.645,0.849,0.951,0.87,1.2,1.4,1.7,1.9
【H28基準】グラスウール断熱材20K相当,熱伝導率 0.042 W/mK,3,0.042,0.84,20,1.7E-10,20,0,0.204,0.434,0.645,0.849,0.951,0.87,1.2,1.4,1.7,1.9
【H28基準】グラスウール断熱材24K相当,熱伝導率 0.038 W/mK,3,0.038,0.84,24,1.7E-10,24,0,0.204,0.434,0.645,0.849,0.951,0.87,1.2,1.4,1.7,1.9
【H28基準】グラスウール断熱材32K相当,熱伝導率 0.036 W/mK,3,0.036,0.84,32,1.7E-10,32,0,0.204,0.434,0.645,0.849,0.951,0.87,1.2,1.4,1.7,1.9
【H28基準】ビーズ法ポリスチレンフォーム保温板1号,熱伝導率 0.036 W/mK,3,0.036,1.3,30,3.63E-12,30,0,0.2,0.445,0.651,0.845,0.951,2,4,4.8,5.6,7
【H28基準】ビーズ法ポリスチレンフォーム保温板2号,熱伝導率 0.037 W/mK,3,0.037,1.3,25,5.13E-12,25,0,0.2,0.445,0.651,0.845,0.951,2,4,4.8,5.6,7
【H28基準】ビーズ法ポリスチレンフォーム保温板3号,熱伝導率 0.040 W/mK,3,0.04,1.3,20,6.25E-12,20,0,0.2,0.445,0.651,0.845,0.951,2,4,4.8,5.6,7
【H28基準】ビーズ法ポリスチレンフォーム保温板4号,熱伝導率 0.043 W/mK,3,0.043,1.3,15,7.25E-12,15,0,0.2,0.445,0.651,0.845,0.951,2,4,4.8,5.6,7
【H28基準】ビーズ法ポリスチレンフォーム保温板特号,熱伝導率 0.034 W/mK,3,0.034,1.3,27,4.63E-12,27,0,0.2,0.445,0.651,0.845,0.951,2,4,4.8,5.6,7
【H28基準】フェノールフォーム保温板1種1号,熱伝導率 0.022 W/mK,3,0.022,1.7,45,1.5E-12,45,0,0.25,0.5,0.75,0.9,0,1.2,1.8,2.6,3,0
【H28基準】フェノールフォーム保温板1種2号,熱伝導率 0.022 W/mK,3,0.022,1.7,25,1.5E-12,25,0,0.25,0.5,0.75,0.9,0,1.2,1.8,2.6,3,0
【H28基準】ロックウール断熱材（フェルト）,熱伝導率 0.038 W/mK,3,0.038,0.84,40,1.7E-10,40,0,0.201,0.434,0.65,0.852,0.945,0.5,0.55,0.59,0.7,0.76
【H28基準】ロックウール断熱材（マット）,熱伝導率 0.038 W/mK,3,0.038,0.84,40,1.7E-10,40,0,0.201,0.434,0.65,0.852,0.945,0.5,0.55,0.59,0.7,0.76
【H28基準】吹付け硬質ウレタンフォームA種1,熱伝導率 0.034 W/mK,3,0.034,1.7,36,9E-12,36,0,0.25,0.5,0.75,0.9,0,0.2,0.3,0.6,0.7,0
【H28基準】吹付け硬質ウレタンフォームA種1H,熱伝導率 0.026 W/mK,3,0.026,1.7,36,9E-12,36,0,0.25,0.5,0.75,0.9,0,0.2,0.3,0.6,0.7,0
【H28基準】吹付け硬質ウレタンフォームA種3,熱伝導率 0.040 W/mK,3,0.04,1.7,15,3.17E-11,15,0,0.25,0.5,0.75,0.9,0,0.2,0.3,0.6,0.7,0
【H28基準】吹込み用グラスウール13K相当,熱伝導率 0.052 W/mK,3,0.052,0.84,13,1.7E-10,13,0,0.204,0.434,0.645,0.849,0.951,0.87,1.2,1.4,1.7,1.9
【H28基準】吹込み用グラスウール18K相当,熱伝導率 0.052 W/mK,3,0.052,0.84,18,1.7E-10,18,0,0.204,0.434,0.645,0.849,0.951,0.87,1.2,1.4,1.7,1.9
【H28基準】吹込み用グラスウール30K相当,熱伝導率 0.040 W/mK,3,0.04,0.84,30,1.7E-10,30,0,0.204,0.434,0.645,0.849,0.951,0.87,1.2,1.4,1.7,1.9
【H28基準】吹込み用グラスウール35K相当,熱伝導率 0.040 W/mK,3,0.04,0.84,35,1.7E-10,35,0,0.204,0.434,0.645,0.849,0.951,0.87,1.2,1.4,1.7,1.9
【H28基準】吹込み用セルローズファイバー25K,熱伝導率 0.040 W/mK,3,0.04,1.88,25,1.55E-10,25,0,0.25,0.44,0.66,0.86,0,3.2,7,10.5,18.2,0
【H28基準】吹込み用セルローズファイバー45K,熱伝導率 0.040 W/mK,3,0.04,1.88,45,1.55E-10,45,0,0.25,0.44,0.66,0.86,0,3.2,7,10.5,18.2,0
【H28基準】吹込み用セルローズファイバー55K,熱伝導率 0.040 W/mK,3,0.04,1.88,55,1.55E-10,55,0,0.25,0.44,0.66,0.86,0,3.2,7,10.5,18.2,0
【H28基準】吹込み用ロックウール25K相当,熱伝導率 0.047 W/mK,3,0.047,0.84,25,1.7E-10,25,0,0.201,0.434,0.65,0.852,0.945,0.5,0.55,0.59,0.7,0.76
【H28基準】吹込み用ロックウール65K相当,熱伝導率 0.039 W/mK,3,0.039,0.84,65,1.7E-10,65,0,0.201,0.434,0.65,0.852,0.945,0.5,0.55,0.59,0.7,0.76
【H28基準】押出法ポリスチレンフォーム保温板1種,熱伝導率 0.040 W/mK,3,0.04,1.3,25,3.63E-12,25,0,0.25,0.75,0.9,0,0,0.07,0.13,0.17,0,0
【H28基準】押出法ポリスチレンフォーム保温板2種,熱伝導率 0.034 W/mK,3,0.034,1.3,28,3.63E-12,28,0,0.25,0.75,0.9,0,0,0.07,0.13,0.17,0,0
【H28基準】押出法ポリスチレンフォーム保温板3種,熱伝導率 0.028 W/mK,3,0.028,1.3,31,3.63E-12,31,0,0.25,0.75,0.9,0,0,0.07,0.13,0.17,0,0
【H28基準】硬質ウレタンフォーム保温板2種1号,熱伝導率 0.023 W/mK,3,0.023,1.7,35,1E-12,35,0,0.25,0.5,0.75,0.9,0,0.2,0.3,0.6,0.7,0
【H28基準】硬質ウレタンフォーム保温板2種2号,熱伝導率 0.024 W/mK,3,0.024,1.7,25,1E-12,25,0,0.25,0.5,0.75,0.9,0,0.2,0.3,0.6,0.7,0
【H28基準】高性能グラスウール断熱材16K相当,熱伝導率 0.038 W/mK,3,0.038,0.84,16,1.7E-10,16,0,0.204,0.434,0.645,0.849,0.951,0.87,1.2,1.4,1.7,1.9
【H28基準】高性能グラスウール断熱材24K相当,熱伝導率 0.036 W/mK,3,0.036,0.84,24,1.7E-10,24,0,0.204,0.434,0.645,0.849,0.951,0.87,1.2,1.4,1.7,1.9
【H28基準】高性能グラスウール断熱材32K相当,熱伝導率 0.035 W/mK,3,0.035,0.84,32,1.7E-10,32,0,0.204,0.434,0.645,0.849,0.951,0.87,1.2,1.4,1.7,1.9
【H28基準】高性能グラスウール断熱材40K相当,熱伝導率 0.034 W/mK,3,0.034,0.84,40,1.7E-10,40,0,0.204,0.434,0.645,0.849,0.951,0.87,1.2,1.4,1.7,1.9
【H28基準】高性能グラスウール断熱材48K相当,熱伝導率 0.033 W/mK,3,0.033,0.84,48,1.7E-10,48,0,0.204,0.434,0.645,0.849,0.951,0.87,1.2,1.4,1.7,1.9
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
【H28基準】面材で密閉された空気層,,6,0.09,1.298,1,0,0,,0,0,0,0,0,0,0,0,0,0
【H28基準】面材で密閉されていない空気層,,6,0.001,1.298,1,0,0,,0,0,0,0,0,0,0,0,0,0
【H28基準】FRP,,7,0.26,1.2,1600,0,0,,0,0,0,0,0,0,0,0,0,0
【H28基準】アスファルト類,,7,0.11,0.92,1000,0,0,,0,0,0,0,0,0,0,0,0,0
【H28基準】ビニル系床材,,7,0.19,1.2,1300,0,0,,0,0,0,0,0,0,0,0,0,0
【H28基準】土壌,,7,1,2.3,1500,0,0,,0,0,0,0,0,0,0,0,0,0
【H28基準】岩石,,7,3.1,0.86,2800,0,0,,0,0,0,0,0,0,0,0,0,0
【H28基準】畳,,7,0.083,1.3,230,0,0,,0,0,0,0,0,0,0,0,0,0
【H28基準】0.8けい酸カルシウム板,,8,0.18,0.92,750,0,0,,0,0,0,0,0,0,0,0,0,0
【H28基準】1.0けい酸カルシウム板,,8,0.24,0.92,1100,0,0,,0,0,0,0,0,0,0,0,0,0
【H28基準】かわら,,8,1,0.75,2000,0,0,,0,0,0,0,0,0,0,0,0,0
【H28基準】しっくい,,8,0.74,1.1,1300,0,0,,0,0,0,0,0,0,0,0,0,0
【H28基準】せっこうプラスター,,8,0.6,0.84,1900,0,0,,0,0,0,0,0,0,0,0,0,0
