材料名,メモ,材料タイプ,熱伝導率 [W/mK],容積比熱 [KJ/m3･K]
アルミニウム合金,,0,200.036,2427.88
ステンレス鋼,,0,15.003,3478.57
鉛,,0,35.006,1469.29
銅,,0,370.067,3143.69
鋼材,,0,53.01,3759.03
ハードボード,,1,0.17,1232.78
パーティクルボード,,1,0.15,715.806
合板,,1,0.16,715.806
天然木材１類（桧、杉、えぞ松等）,,1,0.12,519.064
天然木材２類（松、ﾗﾜﾝ等）,,1,0.15,648.83
天然木材３類（ﾅﾗ、ｻｸﾗ、ﾌﾞﾅ等）,,1,0.19,845.572
断熱木毛セメント板,,1,0.1,841.386
木片セメント板,,1,0.17,1678.59
軽量気泡コンクリートパネル（ALCﾊﾟﾈﾙ）,,2,0.17,661.388
軽量骨材ｺﾝｸﾘｰﾄ１種,,2,0.81,1900.44
軽量骨材ｺﾝｸﾘｰﾄ２種,,2,0.58,1599.05
ｺﾝｸﾘｰﾄ,,2,1.6,1896.26
'ｾﾒﾝﾄ・ﾓﾙﾀﾙ,,2,1.5,1599.05
A級インシュレーションボード,熱伝導率 0.049[W/mK],3,0.049,324.834
シージングボード,熱伝導率 0.052[W/mK],3,0.052,390.135
タタミボード,熱伝導率 0.045[W/mK],3,0.045,15.0696
フェノールフォーム保温板1種1号,熱伝導率 0.033[W/mK],3,0.033,37.674
フェノールフォーム保温板1種2号,熱伝導率 0.030[W/mK],3,0.03,37.674
フェノールフォーム保温板2種1号,熱伝導率 0.036[W/mK],3,0.036,56.511
フェノールフォーム保温板2種2号,熱伝導率 0.034[W/mK],3,0.034,56.511
ポリエチレンフォームＡ,熱伝導率 0.038[W/mK],3,0.038,62.79
ポリエチレンフォームＢ,熱伝導率 0.042[W/mK],3,0.042,62.79
住宅用グラスウール断熱材10K相当,熱伝導率 0.050[W/mK],3,0.05,8.372
住宅用グラスウール断熱材16K相当,熱伝導率 0.045[W/mK],3,0.045,13.3952
住宅用グラスウール断熱材24K相当,熱伝導率 0.038[W/mK],3,0.038,20.0928
住宅用グラスウール断熱材32K相当,熱伝導率 0.036[W/mK],3,0.036,26.7904
住宅用ロックウール断熱材フェルト,熱伝導率 0.038[W/mK],3,0.038,41.86
住宅用ロックウール断熱材ボード,熱伝導率 0.036[W/mK],3,0.036,58.604
住宅用ロックウール断熱材マット,熱伝導率 0.038[W/mK],3,0.038,33.488
吹付けﾛｯｸｳｰﾙ,熱伝導率 0.047[W/mK],3,0.047,167.859
吹込用グラスウール断熱材1種13K相当,熱伝導率 0.052[W/mK],3,0.052,10.8836
吹込用グラスウール断熱材2種18K相当,熱伝導率 0.052[W/mK],3,0.052,16.744
吹込用グラスウール断熱材2種30K相当,熱伝導率 0.040[W/mK],3,0.04,29.302
吹込用グラスウール断熱材2種35K相当,熱伝導率 0.040[W/mK],3,0.04,37.674
