key,area_m2,U_W_m2K,G_W_K,alpha_i,alpha_o,source
床下->外部||W_外壁,2.79,2.921646746347942,8.151394422310759,4.4,25.0,layers+film
床下->外部||E_外壁,3.71,2.921646746347942,10.839309428950864,4.4,25.0,layers+film
床下->外部||S_外壁,5.34,2.921646746347942,15.60159362549801,4.4,25.0,layers+film
床下->外部||N_外壁,4.64,2.921646746347942,13.556440903054451,4.4,25.0,layers+film
和室->外部||W_外壁_一般部,7.2542,0.4268471656692894,3.0964347091981588,4.4,25.0,layers+film
和室->外部||W_外壁_熱橋部,1.4858000000000002,0.7157615824617205,1.0634785592216245,4.4,25.0,layers+film
和室->外部||S_外壁_一般部,5.2539,0.4268471656692894,2.242612323709879,4.4,25.0,layers+film
和室->外部||S_外壁_熱橋部,1.0761,0.7157615824617205,0.7702310388870575,4.4,25.0,layers+film
和室->外部||N_外壁_一般部,1.8094000000000001,0.4268471656692894,0.7723372615620122,4.4,25.0,layers+film
和室->外部||N_外壁_熱橋部,0.37060000000000004,0.7157615824617205,0.26526124246031363,4.4,25.0,layers+film
LD->外部||E_外壁_一般部,5.4738500000000005,0.4268471656692894,2.33649735779884,4.4,25.0,layers+film
LD->外部||E_外壁_熱橋部,1.12115,0.7157615824617205,0.802476098176958,4.4,25.0,layers+film
LD->外部||S_外壁_一般部,6.0341,0.4268471656692894,2.5756384823650587,4.4,25.0,layers+film
LD->外部||S_外壁_熱橋部,1.2359,0.7157615824617205,0.8846097397644404,4.4,25.0,layers+film
LD->和室||間仕切壁,5.68,1.8966229456708024,10.772818331410157,4.4,9.100000000000001,layers+film
LD->和室||建具,3.06,2.33,7.1298,4.4,9.100000000000001,u_value
台所->外部||E_外壁_一般部,6.2084,0.4268471656692894,2.650037943341216,4.4,25.0,layers+film
台所->外部||E_外壁_熱橋部,1.2716,0.7157615824617205,0.9101624282583238,4.4,25.0,layers+film
台所->外部||N_外壁_一般部,2.905,0.4268471656692894,1.2399910162692855,4.4,25.0,layers+film
台所->外部||N_外壁_熱橋部,0.5950000000000001,0.7157615824617205,0.42587814156472376,4.4,25.0,layers+film
台所->外部||N_台所ドア,1.62,4.65,7.533000000000001,4.4,25.0,u_value
台所->LD||間仕切壁,3.46,1.8966229456708024,6.5623153920209765,4.4,9.100000000000001,layers+film
浴室->外部||W_外壁_一般部,2.9465,0.4268471656692894,1.257705173644561,4.4,25.0,layers+film
浴室->外部||W_外壁_熱橋部,0.6035,0.7157615824617205,0.43196211501564835,4.4,25.0,layers+film
浴室->外部||N_外壁_一般部,3.3947,0.4268471656692894,1.4490180732975366,4.4,25.0,layers+film
浴室->外部||N_外壁_熱橋部,0.6953,0.7157615824617205,0.4976690282856343,4.4,25.0,layers+film
1階トイレ->外部||N_外壁_一般部,1.2532999999999999,0.4268471656692894,0.5349675527333203,4.4,25.0,layers+film
1階トイレ->外部||N_外壁_熱橋部,0.2567,0.7157615824617205,0.18373599821792364,4.4,25.0,layers+film
1階トイレ->台所||間仕切壁,4.09,1.8966229456708024,7.757187847793581,4.4,9.100000000000001,layers+film
洗面所->外部||N_外壁_一般部,2.9465,0.4268471656692894,1.257705173644561,4.4,25.0,layers+film
洗面所->外部||N_外壁_熱橋部,0.6035,0.7157615824617205,0.43196211501564835,4.4,25.0,layers+film
洗面所->浴室||間仕切壁,2.668,1.8966229456708024,5.060190019049701,4.4,9.100000000000001,layers+film
洗面所->浴室||室内建具,1.422,2.33,3.31326,4.4,9.100000000000001,u_value
洗面所->1階トイレ||間仕切壁,4.09,1.8966229456708024,7.757187847793581,4.4,9.100000000000001,layers+film
ホール->外部||W_外壁_一般部,2.8303,0.4268471656692894,1.2081055329937895,4.4,25.0,layers+film
ホール->外部||W_外壁_熱橋部,0.5797000000000001,0.7157615824617205,0.41492698935305944,4.4,25.0,layers+film
ホール->外部||W_玄関ドア,1.89,4.65,8.7885,4.4,25.0,u_value
ホール->外部||N_外壁_一般部,5.5693,0.4268471656692894,2.3772399197619736,4.4,25.0,layers+film
ホール->外部||N_外壁_熱橋部,1.1407,0.7157615824617205,0.8164692371140846,4.4,25.0,layers+film
ホール->和室||間仕切壁,7.3180000000000005,1.8966229456708024,13.879486716418933,4.4,9.100000000000001,layers+film
